student_id,"Subscription Type","Subscription Type Res",max(purchase_date),created_at,price,price
164821,monthly,annual,"2021-08-21 15:42:10","2021-08-31 17:00:14",43.98,187.09
164997,monthly,annual,"2021-08-22 10:46:59","2021-08-27 14:10:24",39.2,98.19
165026,monthly,annual,"2021-11-07 11:28:18","2021-11-22 19:12:35",36,95.78
165184,monthly,annual,"2021-08-25 08:05:55","2021-09-21 08:24:03",36,134.24
166145,monthly,annual,"2021-09-10 18:16:50","2021-09-27 15:25:45",34.78,129.49
166417,monthly,annual,"2021-11-29 08:54:18","2021-12-29 08:57:45",28.98,108.67
166929,monthly,annual,"2021-11-01 08:50:06","2021-11-29 04:28:36",39.17,116.59
167191,monthly,annual,"2021-09-02 12:34:14","2021-09-25 21:52:07",43.36,157.23
168916,monthly,annual,"2021-11-11 09:51:37","2021-11-24 00:56:03",42.06,106.01
170232,monthly,annual,"2021-09-17 05:26:20","2021-09-20 20:16:40",30.72,62.04
171248,monthly,annual,"2022-03-25 08:14:08","2022-06-29 13:24:54",41.61,98.66
171536,monthly,annual,"2021-09-28 11:38:51","2022-06-20 03:16:40",30.03,173.89
172427,monthly,annual,"2021-11-16 08:01:57","2022-02-16 16:30:51",36,99
172462,monthly,annual,"2021-11-21 19:33:00","2021-11-29 19:37:19",38.3,95.4
172723,monthly,annual,"2021-11-14 10:06:34","2021-11-24 23:18:27",36,91.41
182533,monthly,annual,"2021-11-18 06:18:58","2021-11-23 03:28:53",40.53,97.69
185019,monthly,annual,"2021-12-07 10:46:48","2022-06-28 07:33:14",36,99
190825,monthly,lifetime,"2021-12-17 08:10:46","2022-05-03 16:29:28",42.48,240
192115,monthly,annual,"2021-11-20 04:21:51","2021-12-23 15:11:17",42.45,138.88
194135,monthly,annual,"2021-11-17 17:08:48","2021-11-25 10:02:36",36.06,89.55
200269,monthly,annual,"2021-12-22 12:09:30","2022-01-17 16:03:43",43.55,160.02
201462,monthly,annual,"2021-10-28 12:23:25","2021-11-03 10:33:18",36,309.82
213109,monthly,annual,"2022-01-14 18:23:59","2022-02-16 17:42:59",43.12,98.85
216394,monthly,annual,"2022-01-02 09:07:58","2022-01-27 13:37:09",29,152.38
218237,monthly,annual,"2021-11-22 16:02:08","2022-02-17 12:13:54",36,99
225283,monthly,annual,"2022-03-01 08:27:21","2022-08-31 19:19:13",44.11,121.37
238800,monthly,annual,"2022-01-18 12:07:58","2022-06-29 14:22:28",36,99
240312,monthly,annual,"2021-11-07 13:48:28","2021-11-28 16:24:41",39.87,122.64
241207,monthly,annual,"2021-11-19 10:26:24","2021-11-22 17:42:51",36,85.28
