original canceled date,resurrected canceled date,original created date,resurrected created date,original end date,resurrected end date,original next charge date,resurrected next charge date,original plan,resurrected plan,student_id,original subscription id,resurrected subscription id,days to resurrection
NULL,NULL,3/30/2021 20:03,8/31/2021 18:47,4/23/2021 0:00,NULL,3/30/2022 0:00,2/1/2023 0:00,annual,annual,146990,3926,5331,130
8/21/2021 0:00,9/27/2021 0:00,7/26/2021 10:09,9/1/2021 13:27,8/26/2021 0:00,10/1/2021 0:00,8/26/2021 0:00,10/1/2021 0:00,monthly,monthly,161118,4981,5341,6
8/4/2021 0:00,11/3/2021 0:00,4/7/2021 9:41,9/2/2021 8:33,8/7/2021 0:00,12/2/2021 0:00,8/7/2021 0:00,12/2/2021 0:00,monthly,monthly,148222,3984,5345,26
NULL,NULL,7/23/2021 20:49,9/7/2021 23:46,8/27/2021 0:00,10/11/2021 0:00,8/23/2021 0:00,10/7/2021 0:00,monthly,monthly,161362,4930,5375,11
NULL,NULL,1/28/2021 23:44,9/9/2021 14:41,8/3/2021 0:00,NULL,7/23/2021 3:00,9/9/2023 0:00,annual,annual,3698,1593,5383,37
2/3/2021 0:00,9/19/2021 0:00,2/3/2021 6:06,9/19/2021 5:46,3/3/2021 0:00,10/19/2021 0:00,3/3/2021 0:00,10/19/2021 0:00,monthly,monthly,143714,3264,5424,200
NULL,NULL,1/28/2021 23:44,9/21/2021 11:11,9/18/2021 0:00,9/30/2022 0:00,9/9/2021 3:00,9/21/2022 0:00,annual,annual,3291,1451,5443,3
5/25/2021 0:00,5/9/2022 0:00,2/24/2021 3:52,9/24/2021 0:57,5/25/2021 0:00,5/24/2022 0:00,6/24/2021 0:00,5/24/2022 0:00,monthly,monthly,145484,3462,5469,122
2/7/2021 0:00,11/21/2021 0:00,1/28/2021 23:44,9/24/2021 1:38,3/7/2021 0:00,11/24/2021 0:00,3/7/2021 0:00,11/24/2021 0:00,monthly,monthly,3880,557,5470,201
4/21/2020 3:00,9/26/2021 0:00,1/28/2021 23:46,9/26/2021 11:38,4/17/2021 0:00,9/26/2022 0:00,4/18/2021 3:00,9/26/2022 0:00,annual,annual,23504,2681,5503,162
NULL,10/20/2022 0:00,7/14/2021 20:35,9/26/2021 17:23,7/19/2021 0:00,10/21/2022 0:00,7/14/2022 0:00,9/26/2023 0:00,annual,annual,159621,4832,5511,69
8/6/2021 0:00,10/26/2021 0:00,6/7/2021 13:31,9/26/2021 23:46,8/7/2021 0:00,11/26/2021 0:00,8/7/2021 0:00,11/26/2021 0:00,monthly,monthly,156167,4612,5516,50
NULL,NULL,1/28/2021 23:44,9/27/2021 10:16,3/23/2021 0:00,12/1/2021 0:00,3/19/2021 0:00,11/27/2021 0:00,monthly,monthly,2134,147,5528,188
NULL,10/15/2022 0:00,5/31/2021 11:32,9/27/2021 19:26,6/9/2021 0:00,12/27/2022 0:00,5/31/2022 0:00,12/27/2022 0:00,annual,annual,156467,4451,5548,110
NULL,NULL,1/28/2021 23:46,10/1/2021 3:10,4/25/2021 0:00,9/5/2022 0:00,4/16/2021 3:00,9/1/2022 0:00,annual,monthly,5554,2846,5597,159
NULL,NULL,1/30/2021 2:26,10/3/2021 21:13,4/1/2021 0:00,7/7/2022 0:00,3/28/2021 0:00,7/3/2022 0:00,monthly,monthly,143454,3211,5607,185
7/17/2021 0:00,10/17/2021 0:00,7/8/2021 16:55,10/11/2021 12:30,8/8/2021 0:00,11/11/2021 0:00,8/8/2021 0:00,11/11/2021 0:00,monthly,monthly,159207,4792,5657,64
